continente,pais,n_articulos,pct
Asia,china,6146,43.7
Asia,india,1339,9.5
America del Sur,brazil,354,2.5
America del Norte,united states,264,1.9
Europa,spain,259,1.8
Asia,malaysia,218,1.5
Africa,egypt,201,1.4
Asia,viet nam,192,1.4
Europa,italy,189,1.3
Asia,saudi arabia,178,1.3
Africa,south africa,153,1.1
Europa,united kingdom,149,1.1
Asia,pakistan,148,1.1
Europa,poland,123,0.9
Asia,iraq,120,0.9
America del Norte,mexico,110,0.8
America del Norte,canada,104,0.7
Europa,portugal,99,0.7
Europa,germany,97,0.7
Asia,thailand,95,0.7
Africa,nigeria,85,0.6
Sin determinar,russian federation,79,0.6
Oceania,australia,75,0.5
Africa,morocco,72,0.5
Europa,france,62,0.4
Asia,japan,60,0.4
America del Sur,colombia,57,0.4
Asia,indonesia,57,0.4
Europa,greece,53,0.4
Europa,romania,53,0.4
Africa,algeria,53,0.4
Sin determinar,hong kong,52,0.4
America del Sur,chile,46,0.3
Europa,czech republic,44,0.3
Sin determinar,united arab emirates,42,0.3
Asia,bangladesh,37,0.3
Sin determinar,tunisia,34,0.2
Sin determinar,singapore,33,0.2
Europa,sweden,26,0.2
America del Sur,argentina,24,0.2
America del Sur,ecuador,24,0.2
Europa,finland,23,0.2
Sin determinar,ireland,21,0.1
Sin determinar,israel,20,0.1
Sin determinar,serbia,20,0.1
Africa,ethiopia,19,0.1
Europa,netherlands,18,0.1
Europa,hungary,17,0.1
Europa,belgium,16,0.1
Europa,switzerland,14,0.1
Africa,kenya,14,0.1
Sin determinar,cyprus,13,0.1
America del Sur,peru,13,0.1
Asia,sri lanka,13,0.1
Sin determinar,jersey,12,0.1
Europa,denmark,12,0.1
Sin determinar,qatar,11,0.1
Asia,jordan,10,0.1
Sin determinar,estonia,10,0.1
Sin determinar,slovakia,10,0.1
Sin determinar,lebanon,9,0.1
Sin determinar,croatia,9,0.1
Sin determinar,kazakhstan,8,0.1
Sin determinar,kuwait,8,0.1
Sin determinar,oman,8,0.1
Europa,norway,7,0.0
Sin determinar,philippines,7,0.0
Sin determinar,brunei darussalam,7,0.0
Oceania,new zealand,6,0.0
Europa,austria,6,0.0
Sin determinar,slovenia,6,0.0
Sin determinar,cameroon,5,0.0
America Central/Caribe,costa rica,5,0.0
Sin determinar,uganda,5,0.0
Sin determinar,bulgaria,4,0.0
Sin determinar,luxembourg,4,0.0
Sin determinar,republic of serbia,4,0.0
Sin determinar,turkiye,4,0.0
Sin determinar,people's republic of china,4,0.0
Sin determinar,zimbabwe,4,0.0
Sin determinar,puerto rico,4,0.0
America Central/Caribe,cuba,3,0.0
Africa,ghana,3,0.0
Sin determinar,nepal,3,0.0
Sin determinar,lithuania,3,0.0
Sin determinar,macao,3,0.0
Sin determinar,azerbaijan,2,0.0
Sin determinar,mali,2,0.0
Sin determinar,georgia,2,0.0
Sin determinar,guadeloupe,2,0.0
Sin determinar,trinidad and tobago,2,0.0
Sin determinar,senegal,2,0.0
Sin determinar,syrian arab republic,2,0.0
Sin determinar,greenland,1,0.0
Sin determinar,belarus,1,0.0
Sin determinar,afghanistan,1,0.0
Sin determinar,dominican republic,1,0.0
Sin determinar,benin,1,0.0
Sin determinar,latvia,1,0.0
Sin determinar,namibia,1,0.0
Sin determinar,martinique,1,0.0
Sin determinar,myanmar,1,0.0
Sin determinar,madagascar,1,0.0
Sin determinar,panama,1,0.0
Sin determinar,republic of kazakhstan,1,0.0
Sin determinar,uzbekistan,1,0.0
